exit_any,sector_grp,years_since_first_investment,flag_founding_pre2000,first_round_syndicate_size,first_round_foreign_investor_share,first_round_corporate_vc_flag,first_round_late_stage_pe_flag,first_round_investor_experience_mean,log_investor_experience_mean
0,Other,3.46611909650924,0,1,0.0,0,0,57.0,4.060443010546419
1,Consumer Products,5.626283367556468,0,1,0.0,0,0,3099.0,8.039157390473237
1,Education/Training,2.6666666666666665,1,2,0.5,0,0,87.0,4.477336814478207
0,Other,9.188227241615332,0,1,0.0,0,0,3.0,1.3862943611198906
1,Healthcare IT,9.639972621492129,0,2,0.5,0,0,6461.0,8.773694146384443
0,Software,1.242984257357974,0,1,1.0,0,0,70.0,4.2626798770413155
1,Business Support Services,9.347022587268993,0,1,0.0,0,0,4.0,1.6094379124341003
0,Education/Training,2.6940451745379876,0,2,0.0,0,1,6520.0,8.782783017393202
0,Food,4.331279945242985,0,3,0.0,0,0,847.25,6.743175403664339
0,"Automobiles, Other Vehicles & Parts",9.96851471594798,0,1,0.0,0,0,59.0,4.0943445622221
1,Food,1.6427104722792607,0,1,1.0,0,0,9610.0,9.170663554823284
0,Other,1.0321697467488022,0,2,0.0,0,0,8187.0,9.01042494678118
0,Medical Devices & Equipment,4.350444900752909,0,2,0.5,0,0,5084.6,8.5341682956222
0,Financial Services,9.25119780971937,0,4,1.0,0,1,40.5,3.7256934272366524
0,"Automobiles, Other Vehicles & Parts",9.010266940451745,0,4,0.5,0,0,9931.5,9.203567487688755
0,Financial Services,6.685831622176591,0,3,0.0,0,0,4867.5,8.490541160418811
0,Consumer Products,2.00684462696783,0,1,0.0,0,0,11.0,2.4849066497880004
0,Software,1.6372347707049966,0,2,0.0,0,0,21068.666666666668,9.955589686391491
0,Pharmaceuticals,4.900752908966461,1,2,0.0,0,1,30.0,3.4339872044851463
0,Business Support Services,2.7132101300479126,0,1,1.0,0,0,70.0,4.2626798770413155
0,Consumer Products,8.290212183436003,0,2,1.0,0,0,58.0,4.07753744390572
0,Consumer Products,1.1416837782340863,0,3,0.0,0,0,15619.666666666666,9.656350102807268
1,Food,3.8329911019849416,0,1,0.0,0,0,31.0,3.4657359027997265
0,Consumer Products,0.7200547570157426,0,1,0.0,0,0,1.0,0.6931471805599453
1,Internet,0.9390828199863107,0,1,0.0,0,0,3099.0,8.039157390473237
1,Other,5.757700205338809,0,1,0.0,0,0,7.0,2.0794415416798357
0,Software,9.656399726214921,0,3,0.6666666666666666,0,0,373.3333333333333,5.925146666070334
0,Other,1.5304585900068446,0,2,0.0,0,0,24.0,3.2188758248682006
0,Internet,4.246406570841889,0,2,0.0,0,0,91.5,4.52720864451838
0,Business Support Services,7.5893223819301845,0,1,0.0,0,0,5.0,1.791759469228055
1,Logistics & Distribution,4.046543463381246,0,1,0.0,0,0,248.0,5.517452896464707
0,Software,4.804928131416838,0,5,0.2,0,0,73.6,4.312140507209715
0,Software,3.274469541409993,0,1,1.0,0,0,124.0,4.8283137373023015
0,Consumer Products,3.164955509924709,0,4,0.25,0,0,4076.25,8.313178020537027
0,Internet,8.046543463381246,0,1,0.0,0,0,4.0,1.6094379124341003
0,Internet,4.744695414099931,0,4,0.0,0,0,11808.75,9.376680740466082
0,Logistics & Distribution,6.666666666666667,0,1,0.0,0,0,210.0,5.351858133476067
0,Financial Services,9.730321697467488,0,1,1.0,0,0,210.0,5.351858133476067
0,Consumer Products,1.7166324435318274,0,2,0.0,0,0,8202.5,9.012316171454938
0,Software,5.587953456536619,0,3,0.3333333333333333,0,0,12404.857142857143,9.425923990301289
0,Other,3.898699520876112,0,2,0.0,0,0,581.0,6.366470447731438
0,Business Support Services,8.580424366872005,0,1,1.0,0,0,15815.0,9.668777364850452
0,Pharmaceuticals,8.128678986995208,0,1,0.0,0,1,5.0,1.791759469228055
0,Education/Training,4.271047227926078,0,2,0.5,0,0,6427.0,8.768418726857403
0,Other,0.02190280629705681,0,1,0.0,0,0,26.0,3.295836866004329
0,Food,4.459958932238193,0,1,0.0,0,0,130.0,4.875197323201151
1,Consumer Products,3.238877481177276,0,1,0.0,0,0,19.0,2.995732273553991
0,Education/Training,6.3901437371663246,0,1,0.0,0,0,163.0,5.099866427824199
0,Financial Services,6.529774127310062,0,1,0.0,0,1,4.0,1.6094379124341003
0,Other,3.0992470910335386,0,1,1.0,0,0,30.0,3.4339872044851463
